Incidencia,Virulencia,P-hosp,Letalidad,Acumulado hosp,sDist,N decesos infeccion,N decesos hosp,Acumulado defunciones,atpi,Escenario
0.344853929,0.192164693,0.079347459,0.03318645,4932,1975187777,650,314,964,12522965,NvProp Intermedio
0.340648583,0.187594077,0.077228337,0.033955263,4729,1972915693,630,340,970,12079665,NvProp Intermedio
0.340781528,0.190456345,0.078990001,0.034382163,4827,1969247945,657,333,990,13353028,NvProp Intermedio
0.343882965,0.194380774,0.080656755,0.035146211,4937,1972267944,660,352,1012,12931676,NvProp Intermedio
0.343547414,0.188400381,0.078314508,0.03452025,4888,1971883688,657,359,1016,12950551,NvProp Intermedio
0.343973787,0.188024279,0.07827282,0.032087567,4898,1974193522,616,325,941,12533018,NvProp Intermedio
0.343602001,0.190141328,0.079351797,0.032210483,4931,1975265691,612,327,939,12159576,NvProp Intermedio
0.341551303,0.189067458,0.078907925,0.033677961,4896,1971486321,645,342,987,13061274,NvProp Intermedio
0.344369416,0.189639764,0.079531502,0.032276915,4923,1974456117,594,345,939,12343514,NvProp Intermedio
0.342485663,0.188593313,0.078609234,0.034882517,4827,1968770258,639,372,1011,12978882,NvProp Intermedio
0.344760511,0.190444638,0.079221204,0.03299041,4842,1975860582,619,327,946,12037784,NvProp Intermedio
0.342407378,0.194367579,0.081008425,0.033206067,4942,1977013271,607,341,948,12578204,NvProp Intermedio
0.345065116,0.191123468,0.078883437,0.034462637,4903,1969417086,665,339,1004,12975908,NvProp Intermedio
0.344924451,0.19082381,0.079023935,0.034146341,4916,1972878279,678,323,1001,12986834,NvProp Intermedio
0.343384933,0.190306925,0.079167002,0.033666006,4923,1974931131,645,340,985,12951887,NvProp Intermedio
0.341677561,0.189739721,0.078985122,0.033915161,4900,1970418585,633,356,989,13085305,NvProp Intermedio
0.342153238,0.191419488,0.079055728,0.034797191,4819,1969160826,660,336,996,12883254,NvProp Intermedio
0.344757524,0.18861113,0.078722788,0.033682992,4889,1968895256,649,340,989,13136674,NvProp Intermedio
0.340690458,0.18641282,0.07747299,0.034276127,4790,1970989963,654,347,1001,12642173,NvProp Intermedio
0.34402277,0.183325341,0.076166046,0.033294513,4721,1968235297,631,341,972,12982802,NvProp Intermedio
0.347212816,0.187882683,0.078058166,0.03332093,4909,1972020203,645,340,985,12911263,NvProp Intermedio
0.339595929,0.188603559,0.077692751,0.033839613,4853,1974147378,648,339,987,12497088,NvProp Intermedio
0.344568197,0.189307983,0.079020176,0.03431122,4884,1971028839,672,335,1007,13113386,NvProp Intermedio
0.342609487,0.189601717,0.07951656,0.033491193,4941,1972155204,624,359,983,12961402,NvProp Intermedio
0.342266767,0.188595442,0.078480119,0.032730876,4893,1972893941,627,331,958,12968750,NvProp Intermedio
0.343331545,0.187298133,0.078431373,0.032740625,4896,1970715548,613,350,963,12653412,NvProp Intermedio
0.343970212,0.187634943,0.077439563,0.034785291,4821,1968362570,654,361,1015,13011229,NvProp Intermedio
